accession_no,bp,cc,mf,status
P81928,1,0,0,False
P48347,1,1,1,False
P42643,1,0,0,False
P41932,1,1,0,False
P49106,1,1,1,False
Q01525,1,1,0,False
Q20655,1,1,1,False
Q01526,1,1,1,False
P42644,1,1,1,False
P42645,1,1,1,False
P48348,1,0,0,False
P31946,1,1,1,True
Q9CQV8,1,1,1,True
P35213,1,1,1,False
P92177,1,1,1,False
P62258,1,1,1,True
P62259,1,1,1,False
P62260,1,1,1,False
Q04917,1,1,1,True
P68510,1,1,1,True
P61981,1,1,1,True
P61982,1,1,1,False
P61983,1,1,1,False
P31947,1,1,1,True
O70456,1,1,1,False
P27348,1,1,1,True
P68254,1,1,1,False
P68255,1,1,1,False
P29310,1,1,1,False
P63104,1,1,1,True
P63101,1,1,1,False
P63102,1,1,1,False
O42766,1,1,0,False
P54632,1,1,1,False
Q5PRD0,1,0,0,False
Q6PC29,1,0,0,False
Q80HU0,1,1,0,False
P16909,1,1,0,False
P30443,1,1,1,True
P01892,1,1,1,True
P04439,1,1,1,True
P13746,1,1,1,True
Q06402,1,0,1,False
Q43309,1,0,1,False
Q37001,1,0,1,False
Q9SAR0,1,0,1,False
Q9STR4,1,0,1,False
Q9T065,1,0,1,False
Q9M2Y8,1,0,1,False
P37821,1,0,1,True
P30447,1,1,0,False
P05534,1,1,1,True
P18462,1,1,0,False
P30450,1,1,0,False
P30512,1,1,0,False
P16188,1,1,1,False
P16189,1,1,1,False
P10314,1,1,1,False
P16190,1,1,0,False
P30453,1,1,0,False
P30455,1,1,0,False
P30456,1,1,0,False
P30457,1,1,0,False
P01891,1,1,1,True
P10316,1,1,1,False
P30459,1,1,0,False
Q09160,1,1,0,False
P03588,1,1,0,False
P01889,1,1,1,True
P30460,1,1,1,True
P30461,1,1,1,False
P30462,1,1,1,False
P30464,1,1,0,True
P30466,1,1,0,True
P03989,1,1,1,True
P30685,1,1,0,True
P18463,1,1,0,True
Q95365,1,1,0,False
P30475,1,1,0,True
Q04826,1,1,0,True
P30479,1,1,0,True
P30480,1,1,0,True
P30481,1,1,0,True
P30483,1,1,0,False
P30484,1,1,0,True
P30485,1,1,0,False
P30486,1,1,0,False
P30487,1,1,0,False
P30488,1,1,0,False
P18464,1,1,1,True
P30490,1,1,0,True
P30491,1,1,0,True
P30492,1,1,0,False
P30493,1,1,0,False
P30495,1,1,0,False
P18465,1,1,0,True
P10319,1,1,0,True
Q29940,1,1,0,False
Q29836,1,1,0,False
Q31612,1,1,0,False
P30498,1,1,0,False
Q31610,1,1,0,True
Q29718,1,1,0,False
P30499,1,1,1,False
P30501,1,1,1,False
P04222,1,1,1,True
P30504,1,1,1,True
Q9TNN7,1,1,0,True
Q29963,1,1,0,True
P10321,1,1,0,True
P30505,1,1,0,True
P30508,1,1,0,False
P30510,1,1,0,False
Q07000,1,1,0,False
Q29960,1,1,0,False
Q95604,1,1,0,False
Q29865,1,1,0,False
P22282,1,1,0,False
O18178,1,1,1,False
Q15172,1,1,1,False
Q6PD03,1,1,0,False
Q15173,1,1,1,False
Q14738,1,1,1,False
P38903,1,1,1,False
Q8RW96,1,0,1,False
Q13362,1,1,1,True
Q38845,1,1,0,False
Q09543,1,1,1,False
