accession,bp,cc,mf,pdb_status,status
P81928,1,0,0,False,False
P48347,1,1,1,False,False
P42643,1,0,0,False,False
P41932,1,1,0,False,False
P49106,1,1,1,False,False
Q01525,1,1,0,False,False
Q20655,1,1,1,False,False
Q01526,1,1,1,False,False
P42644,1,1,1,False,False
P42645,1,1,1,False,False
P48348,1,0,0,False,False
P31946,1,1,1,True,True
Q9CQV8,1,1,1,True,True
P35213,1,1,1,False,False
P92177,1,1,1,False,False
P62258,1,1,1,True,True
P62259,1,1,1,False,False
P62260,1,1,1,False,False
Q04917,1,1,1,True,True
P68510,1,1,1,True,True
P61981,1,1,1,True,True
P61982,1,1,1,False,False
P61983,1,1,1,False,False
P31947,1,1,1,True,True
O70456,1,1,1,False,False
P27348,1,1,1,True,True
P68254,1,1,1,False,False
P68255,1,1,1,False,False
P29310,1,1,1,False,False
P63104,1,1,1,True,True
P63101,1,1,1,False,False
P63102,1,1,1,False,False
O42766,1,1,0,False,False
P54632,1,1,1,False,False
Q5PRD0,1,0,0,False,False
Q6PC29,1,0,0,False,False
Q80HU0,1,1,0,False,False
P16909,1,1,0,False,False
P30443,1,1,1,True,True
P01892,1,1,1,True,True
P04439,1,1,1,True,True
P13746,1,1,1,True,True
Q06402,1,0,1,False,False
Q43309,1,0,1,False,False
Q37001,1,0,1,False,False
Q9SAR0,1,0,1,False,False
Q9STR4,1,0,1,False,False
Q9T065,1,0,1,False,False
Q9M2Y8,1,0,1,False,False
P37821,1,0,1,True,True
P30447,1,1,0,False,False
P05534,1,1,1,True,True
P18462,1,1,0,False,False
P30450,1,1,0,False,False
P30512,1,1,0,False,False
P16188,1,1,1,False,False
P16189,1,1,1,False,False
P10314,1,1,1,False,False
P16190,1,1,0,False,False
P30453,1,1,0,False,False
P30455,1,1,0,False,False
P30456,1,1,0,False,False
P30457,1,1,0,False,False
P01891,1,1,1,True,True
P10316,1,1,1,False,False
P30459,1,1,0,False,False
Q09160,1,1,0,False,False
P03588,1,1,0,False,False
P01889,1,1,1,True,True
P30460,1,1,1,True,True
P30461,1,1,1,False,False
P30462,1,1,1,False,False
P30464,1,1,0,True,True
P30466,1,1,0,True,True
P03989,1,1,1,True,True
P30685,1,1,0,True,True
P18463,1,1,0,True,True
Q95365,1,1,0,False,False
P30475,1,1,0,True,True
